a,meanlog_obs,sdlog_obs,meanlog_sim,sdlog_sim,loss,yr,yr_idx,a_hat
1.25,3.36105863287817,0.669138042294739,2.937608238957323,0.8209482752742084,0.22540292978628235,2010,11,0.25
2,3.36105863287817,0.669138042294739,2.5904032637051118,0.9079690997143429,0.7079902460115952,2010,11,0.25
0.5,3.449914507132503,0.5974459212948605,3.4503814654487797,0.5949422093614676,1.2755196959968523e-5,2011,12,0.5
0.25,3.449914507132503,0.5974459212948605,3.464637468395632,0.5708200677283125,0.0016346377446501115,2011,12,0.5
0.75,3.449914507132503,0.5974459212948605,3.384261191564551,0.6022801755506857,0.00435709787348501,2011,12,0.5
1,3.449914507132503,0.5974459212948605,3.3589164300005483,0.6534896100780805,0.014562440146573975,2011,12,0.5
1.5,3.449914507132503,0.5974459212948605,3.181018718915037,0.7218777277889029,0.10327149385583376,2011,12,0.5
1.25,3.449914507132503,0.5974459212948605,3.04976724690397,0.7419390849284152,0.20187437854206772,2011,12,0.5
2,3.449914507132503,0.5974459212948605,2.95452460608071,0.8331099357086128,0.3564862094433153,2011,12,0.5
0.5,3.3942872958731525,0.6562569420152621,3.369193808416845,0.6695489246796709,9.830367190217417e-4,2012,13,0.5
0.25,3.3942872958731525,0.6562569420152621,3.412382831869695,0.6278005112127177,0.0019469853310421525,2012,13,0.5
0.75,3.3942872958731525,0.6562569420152621,3.090194090151128,0.7380858603831274,0.10586462152880717,2012,13,0.5
1.25,3.3942872958731525,0.6562569420152621,3.00505320275327,0.7907931200306281,0.18770314563682192,2012,13,0.5
1,3.3942872958731525,0.6562569420152621,2.9478000978950045,0.7264553230314841,0.20920644335297525,2012,13,0.5
2,3.3942872958731525,0.6562569420152621,2.9608631388026936,0.7620133649014347,0.21022534189559577,2012,13,0.5
1.5,3.3942872958731525,0.6562569420152621,2.927131926572215,0.7430510872243742,0.23330058635185605,2012,13,0.5
0.25,3.336081232250636,0.7299105660321895,3.2632714919919414,0.7592636952671735,0.007024470668309932,2013,14,0.25
0.5,3.336081232250636,0.7299105660321895,3.1661496410003678,0.8128247210532603,0.042626259910564596,2013,14,0.25
1.25,3.336081232250636,0.7299105660321895,3.161114038789854,0.8275542595820059,0.049682100567643675,2013,14,0.25
0.75,3.336081232250636,0.7299105660321895,3.0545917746098907,0.822086488126214,0.09622911599064833,2013,14,0.25
1.5,3.336081232250636,0.7299105660321895,3.000082286742702,0.8518148185142602,0.1426165849288686,2013,14,0.25
1,3.336081232250636,0.7299105660321895,2.932247931196914,0.8268450500553791,0.18187392342563014,2013,14,0.25
2,3.336081232250636,0.7299105660321895,2.790973917394651,0.9100112408366952,0.3620144908395786,2013,14,0.25
0.25,3.324093651555343,0.6791829348927273,3.3477753645676356,0.6577370111997085,0.0014806788172901579,2014,15,0.25
0.5,3.324093651555343,0.6791829348927273,3.19854263163952,0.7401563028352454,0.023198561798410754,2014,15,0.25
1,3.324093651555343,0.6791829348927273,3.109881133800067,0.7377397875802786,0.05274481275639753,2014,15,0.25
0.75,3.324093651555343,0.6791829348927273,3.0949109311567784,0.744319217228088,0.06101018988223028,2014,15,0.25
1.5,3.324093651555343,0.6791829348927273,2.927546921835635,0.7984061141978419,0.1856776418186342,2014,15,0.25
1.25,3.324093651555343,0.6791829348927273,2.8981244945325586,0.7604555066384333,0.19466018457102338,2014,15,0.25
2,3.324093651555343,0.6791829348927273,2.9003945679426417,0.8386625914227727,0.2303884351481253,2014,15,0.25
0.5,3.369687259402341,0.8130899454046983,3.3496818334578236,0.8140988815467709,4.022529714991253e-4,2015,16,0.5
0.25,3.369687259402341,0.8130899454046983,3.3546324904113467,0.8268841876103413,6.072083054280872e-4,2015,16,0.5
1.25,3.369687259402341,0.8130899454046983,3.3057887134822086,0.8647992832841164,0.009430735418562897,2015,16,0.5
0.75,3.369687259402341,0.8130899454046983,3.217784706670099,0.8508849826648109,0.025931315209558162,2015,16,0.5
1,3.369687259402341,0.8130899454046983,3.1050231466916376,0.888217937482224,0.08133552294414535,2015,16,0.5
2,3.369687259402341,0.8130899454046983,2.8119382809793625,0.918016827645543,0.33310322416544413,2015,16,0.5
1.5,3.369687259402341,0.8130899454046983,2.7502659637248574,0.969476430151874,0.43259620676192956,2015,16,0.5
0.25,3.366993850637286,0.6185927769836532,3.3336828538206342,0.6306996790999891,0.0014027766666280523,2016,17,0.25
1.25,3.366993850637286,0.6185927769836532,3.262307929421518,0.6164721421115875,0.010968136285315233,2016,17,0.25
0.75,3.366993850637286,0.6185927769836532,3.1482786087172836,0.6629502137921679,0.05177152144856786,2016,17,0.25
1,3.366993850637286,0.6185927769836532,3.1679045820860097,0.708664274331061,0.05586228612109036,2016,17,0.25
1.5,3.366993850637286,0.6185927769836532,3.1040487211441556,0.7670438200415627,0.11321556549412158,2016,17,0.25
2,3.366993850637286,0.6185927769836532,2.9785288010552073,0.6926610387753961,0.16187730955650703,2016,17,0.25
0.5,3.366993850637286,0.6185927769836532,2.9671625560610293,0.7469191147700781,0.19280036206187648,2016,17,0.25
0.25,3.3661709236765525,0.6209990494550511,3.374621995675319,0.6088542725631935,3.6641182943433504e-4,2017,18,0.25
0.75,3.3661709236765525,0.6209990494550511,3.2055789878038663,0.6716870195592084,0.030928310493896827,2017,18,0.25
0.5,3.3661709236765525,0.6209990494550511,3.1446334484323657,0.700259200507937,0.06164319602742123,2017,18,0.25
1.25,3.3661709236765525,0.6209990494550511,3.139992443036861,0.7101066193375996,0.06703702312522584,2017,18,0.25
1.5,3.3661709236765525,0.6209990494550511,3.037782688382404,0.7248405992917434,0.12940496802457752,2017,18,0.25
2,3.3661709236765525,0.6209990494550511,3.035153046268774,0.7404660580569785,0.1381175674521371,2017,18,0.25
1,3.3661709236765525,0.6209990494550511,3.009828606599705,0.7596364896655935,0.16542052659596002,2017,18,0.25
0.75,3.4079513283706984,0.6346857610953652,3.407563460869959,0.6179795323097543,5.583466016724782e-4,2018,19,0.75
0.25,3.4079513283706984,0.6346857610953652,3.3328403074891244,0.6750173904018811,0.008894946102908663,2018,19,0.75
0.5,3.4079513283706984,0.6346857610953652,3.1989174848570303,0.6996293344562498,0.05213048317585784,2018,19,0.75
1,3.4079513283706984,0.6346857610953652,3.100608706310292,0.7257244390531223,0.1110355691035583,2018,19,0.75
1.5,3.4079513283706984,0.6346857610953652,3.0725988706192866,0.775704678788142,0.1522339412143967,2018,19,0.75
1.25,3.4079513283706984,0.6346857610953652,2.8979698532728193,0.7666494558691684,0.29490993841971563,2018,19,0.75
2,3.4079513283706984,0.6346857610953652,2.904448644036535,0.7989608836020773,0.30748758488089856,2018,19,0.75
0.25,3.3665761589054095,0.6573675096699019,3.3120602827860575,0.664335636381164,0.0030690903287889483,2019,20,0.25
